,features,f1_score_macro,f1_score_micro,f1_score_weighted,balanced_accuracy_score,neg_log_loss,roc_auc_score ovr,roc_auc_score ovo
0,"ups,score,body_length",0.4324,0.6345,0.7,0.5846,-1.015,0.741,0.754
1,+TF-IDF+pol_and_sub,0.4995,0.7097,0.7644,0.6464,-0.7828,0.8496,0.8473
0,+LDA,0.5471,0.7749,0.8085,0.6665,-0.698,0.8767,0.8729
0,+punct_symbols_frac,0.558,0.7831,0.8131,0.6772,-0.6811,0.8792,0.8771
0,RandomOverSampler,0.5496,0.7792,0.8083,0.6633,-0.6898,0.8766,0.8734
0,SMOTE,0.5564,0.7847,0.8117,0.6621,-0.6813,0.8804,0.8755
0,ADASYN,0.5486,0.778,0.8045,0.6474,-0.6765,0.8785,0.8727
0,RandomUnderSampler,0.5314,0.7682,0.7971,0.6363,-0.7175,0.87,0.8628
0,NearMiss,0.257,0.2703,0.382,0.3264,-4.8589,0.4747,0.4829
0,NearMiss,0.4844,0.6988,0.7459,0.6185,-0.8483,0.8358,0.8356
0,TomekLinks,0.5524,0.7778,0.8092,0.6781,-0.7149,0.8773,0.8762
0,EditedNearestNeighbours,0.5036,0.7457,0.7824,0.6719,-0.9519,0.8732,0.8744
